MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,5,8,95, false
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
490,10.9798,50,52,
491,10.970329,50,52,
492,10.960859,50,52,
493,10.951388,50,52,
494,10.941917,50,52,
495,10.932459,50,52,
496,10.923023,50,52,
497,10.913586,50,52,
498,10.90415,50,52,
499,10.894713,50,52,
500,10.885277,50,52,
501,10.87584,50,52,
502,10.866404,50,52,
503,10.856967,50,52,
504,10.847531,50,52,
505,10.838094,50,52,
506,10.828658,50,52,
507,10.819222,50,52,
508,10.809785,50,52,
509,10.800349,50,52,
510,10.790912,50,52,
511,10.781476,50,52,
512,10.772039,50,52,
513,10.762603,50,52,
514,10.753166,50,52,
515,10.74373,50,52,
516,10.734293,50,52,
517,10.724857,50,52,
518,10.71542,50,52,
519,10.705984,50,52,
520,10.696556,50,52,
521,10.687153,50,52,
522,10.677751,50,52,
523,10.668348,50,52,
524,10.658946,50,52,
525,10.649544,50,52,
526,10.640141,50,52,
527,10.630739,50,52,
528,10.621336,50,52,
529,10.611934,50,52,
530,10.602532,50,52,
531,10.593129,50,52,
532,10.583727,50,52,
533,10.574324,50,52,
534,10.564922,50,52,
535,10.55552,50,52,
536,10.546127,50,52,
537,10.536759,50,52,
538,10.527423,50,52,
539,10.518099,50,52,
540,10.508799,50,52,
541,10.499498,50,52,
542,10.490198,50,52,
543,10.480898,50,52,
544,10.471598,50,52,
545,10.462298,50,52,
546,10.45302,50,52,
547,10.443754,50,52,
548,10.434488,50,52,
549,10.425222,50,52,
550,10.415955,50,52,
551,10.406689,50,52,
552,10.397423,50,52,
553,10.388157,50,52,
554,10.378891,50,52,
555,10.369629,50,52,
556,10.360397,50,52,
557,10.351165,50,52,
558,10.341966,50,52,
559,10.332768,50,52,
560,10.32357,50,52,
561,10.314372,50,52,
562,10.305174,50,52,
563,10.295976,50,52,
564,10.286778,50,52,
565,10.27758,50,52,
566,10.268381,50,52,
567,10.259183,50,52,
568,10.249985,50,52,
569,10.240787,50,52,
570,10.231589,50,52,
571,10.222391,50,52,
572,10.213193,50,52,
573,10.20401,50,52,
574,10.194846,50,52,
575,10.185682,50,52,
576,10.176519,50,52,
577,10.167355,50,52,
578,10.158191,50,52,
579,10.149027,50,52,
580,10.139863,50,52,
581,10.130699,50,52,
582,10.121535,50,52,
583,10.112371,50,52,
584,10.10321,50,52,
585,10.09408,50,52,
586,10.08495,50,52,
587,10.07582,50,52,
588,10.06669,50,52,
589,10.05756,50,52,
590,10.048431,50,52,
591,10.039301,50,52,
592,10.030171,50,52,
593,10.021041,50,52,
594,10.011911,50,52,
595,10.002781,50,52,
596,9.993651,50,52,
597,9.984521,50,52,
598,9.975405,50,52,
599,9.96631,50,52,
600,9.957214,50,52,
601,9.948118,50,52,
602,9.939022,50,52,
603,9.929926,50,52,
604,9.920864,50,52,
605,9.911818,50,52,
606,9.90279,50,52,
607,9.893762,50,52,
608,9.884735,50,52,
609,9.875777,50,52,
610,9.866851,50,52,
611,9.857926,50,52,
612,9.849,50,52,
613,9.840075,50,52,
614,9.831149,50,52,
615,9.822235,50,52,
616,9.813343,50,52,
617,9.804452,50,52,
618,9.795561,50,52,
619,9.786669,50,52,
620,9.777778,50,52,
621,9.768886,50,52,
622,9.759995,50,52,
623,9.751104,50,52,
624,9.742216,50,52,
625,9.733359,50,52,
626,9.724501,50,52,
627,9.715644,50,52,
628,9.706787,50,52,
629,9.69796,50,52,
630,9.689137,50,52,
631,9.680314,50,52,
632,9.67149,50,52,
633,9.662667,50,52,
634,9.653844,50,52,
635,9.64502,50,52,
636,9.636197,50,52,
637,9.627388,50,52,
638,9.618629,50,52,
639,9.609908,50,52,
640,9.601187,50,52,
641,9.592466,50,52,
642,9.583744,50,52,
643,9.575034,50,52,
644,9.566347,50,52,
645,9.557687,50,52,
646,9.549055,50,52,
647,9.540461,50,52,
648,9.531893,50,52,
649,9.523342,50,52,
650,9.514792,50,52,
651,9.506241,50,52,
652,9.49769,50,52,
653,9.489139,50,52,
654,9.48059,50,52,
655,9.472078,50,52,
656,9.463595,50,52,
657,9.45516,50,52,
658,9.446756,50,52,
659,9.438376,50,52,
660,9.430025,50,52,
661,9.421679,50,52,
662,9.413332,50,52,
663,9.405009,50,52,
664,9.396696,50,52,
665,9.388384,50,52,
666,9.380072,50,52,
667,9.37176,50,52,
668,9.363447,50,52,
669,9.355143,50,52,
670,9.346865,50,52,
671,9.338587,50,52,
672,9.330309,50,52,
673,9.32203,50,52,
674,9.313752,50,52,
675,9.305506,50,52,
676,9.297275,50,52,
677,9.289087,50,52,
678,9.280911,50,52,
679,9.272755,50,52,
680,9.264613,50,52,
681,9.256471,50,52,
682,9.248329,50,52,
683,9.240207,50,52,
684,9.232099,50,52,
685,9.224012,50,52,
686,9.215938,50,52,
687,9.207865,50,52,
688,9.199791,50,52,
689,9.191717,50,52,
690,9.183643,50,52,
691,9.175602,50,52,
692,9.167562,50,52,
693,9.159522,50,52,
694,9.151483,50,52,
695,9.143443,50,52,
696,9.13542,50,52,
697,9.127414,50,52,
698,9.119425,50,52,
699,9.111453,50,52,
700,9.103481,50,52,
701,9.09551,50,52,
702,9.087561,50,52,
703,9.079623,50,52,
704,9.071686,50,52,
705,9.063748,50,52,
706,9.055811,50,52,
707,9.047873,50,52,
708,9.039936,50,52,
709,9.031998,50,52,
710,9.024061,50,52,
711,9.016123,50,52,
712,9.008186,50,52,
713,9.000248,50,52,
714,8.992338,50,52,
715,8.984434,50,52,
716,8.976531,50,52,
717,8.968627,50,52,
718,8.960724,50,52,
719,8.95282,50,52,
720,8.944945,50,52,
721,8.937075,50,52,
722,8.929206,50,52,
723,8.921337,50,52,
724,8.913467,50,52,
725,8.905598,50,52,
726,8.897728,50,52,
727,8.889859,50,52,
728,8.882052,50,52,
729,8.874285,50,52,
730,8.866539,50,52,
731,8.858806,50,52,
732,8.851073,50,52,
733,8.843369,50,52,
734,8.83567,50,52,
735,8.827971,50,52,
736,8.820288,50,52,
737,8.812623,50,52,
738,8.804958,50,52,
739,8.797293,50,52,
740,8.789628,50,52,
741,8.781963,50,52,
742,8.774298,50,52,
743,8.766633,50,52,
744,8.758968,50,52,
745,8.751303,50,52,
746,8.743638,50,52,
747,8.735973,50,52,
748,8.728308,50,52,
