MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,9,8,95, true
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
456,26.415163,74.743765,56.418248,
457,26.462194,69.878757,52.610916,
458,26.501864,65.154161,52.005138,
459,26.529968,60.60076,52,
460,26.574041,103.07659,84.401195,
461,26.620594,97.695027,78.562192,
462,26.669314,92.401549,72.844991,
463,26.719774,87.200616,67.257022,
464,26.770906,82.096111,61.805559,
465,26.821286,77.091955,56.498389,
466,26.870656,72.192231,52.654913,
467,26.915602,67.401288,52.007281,
468,26.949884,62.723642,52,
469,26.996977,103.541252,83.107732,
470,27.0464,98.171422,77.310606,
471,27.097661,92.888482,71.635622,
472,27.149588,87.697349,66.092102,
473,27.200682,82.601947,60.708524,
474,27.250483,77.606127,55.56931,
475,27.299134,72.7139,52.411092,
476,27.344802,67.931924,52.023717,
477,27.380629,63.290386,52,
478,27.428874,105.737297,84.411662,
479,27.479259,100.349235,78.600651,
480,27.531246,95.047268,72.910768,
481,27.583307,89.835712,67.349459,
482,27.634601,84.718186,61.923843,
483,27.684894,79.698342,56.64459,
484,27.734011,74.780025,52.701451,
485,27.781674,69.967328,52,
486,27.822121,65.265564,52,
487,27.873027,108.954963,85.423936,
488,27.925349,103.535853,79.606755,
489,27.978065,98.200917,73.909542,
490,28.030253,92.954198,68.339458,
491,28.081531,87.799122,62.90342,
492,28.131612,82.739158,57.634736,
493,28.180438,77.77795,53.105964,
494,28.228063,72.919381,52.010378,
495,28.272213,68.174504,52,
496,28.324743,111.497151,85.165864,
497,28.377595,106.059515,79.369137,
498,28.429892,100.704368,73.69215,
499,28.481548,95.435557,68.142018,
500,28.532296,90.256413,62.729502,
501,28.5818,85.170301,57.468903,
502,28.630252,80.18074,53.191644,
503,28.678097,75.291475,52.027656,
504,28.72343,70.510088,52,
505,28.776151,112.657722,84.258404,
506,28.828964,107.222294,78.494947,
507,28.881103,101.86806,72.851381,
508,28.93228,96.599034,67.335143,
509,28.982422,91.418516,61.953267,
510,29.031507,86.329812,56.792166,
511,29.079675,81.336378,52.821599,
512,29.127372,76.441886,52.050791,
513,29.173513,71.650265,52,
514,29.22659,116.298236,86.258707,
515,29.27936,110.827547,80.468567,
516,29.331393,105.436537,74.796514,
517,29.382324,100.128761,69.249463,
518,29.432265,94.907257,63.834091,
519,29.481166,89.775115,58.557558,
520,29.529068,84.735585,53.85802,
521,29.576523,79.792122,52.279828,
522,29.623443,74.948433,52.000783,
523,29.676749,120.136114,86.723893,
524,29.729337,114.628612,80.937046,
525,29.780897,109.199033,75.267886,
526,29.831543,103.850602,69.723032,
527,29.881223,98.586158,64.309,
528,29.929879,93.408603,59.032814,
529,29.977482,88.320999,54.04805,
530,30.024713,83.326597,52.248746,
531,30.071894,78.428891,52.000749,
532,30.12509,124.104209,87.14993,
533,30.177408,118.559113,81.368819,
534,30.22887,113.089847,75.704325,
535,30.279428,107.699516,70.16314,
536,30.32886,102.390839,64.751768,
537,30.377275,97.166575,59.477164,
538,30.424654,92.029623,54.515421,
539,30.471348,86.983056,52.089485,
540,30.518023,82.030159,52,
541,30.570778,127.973528,87.398461,
542,30.622733,122.3945,81.625382,
543,30.673841,116.889606,75.968592,
544,30.724055,111.461761,70.434639,
545,30.773325,106.113528,65.029916,
546,30.821594,100.84752,59.762561,
547,30.868752,95.666484,54.740911,
548,30.915308,90.573325,52.306491,
549,30.961737,85.571153,52,
550,31.013869,129.437583,85.786902,
551,31.065098,123.856036,80.058504,
